kernelsize_gaussianBlur,sigmaX,threshold_method,block_size,c_value,horizontal_kernel_divisor,vertical_kernel_divisor,erosion_iterations,dilation_iterations,result_length,error_message
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,100,1,1,193,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,10,1,1,1438,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,20,1,1,1628,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,30,1,1,1308,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,40,1,1,771,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,50,1,1,688,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,60,1,1,395,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,70,1,1,435,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,80,1,1,424,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,90,1,1,310,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,100,1,1,315,
"(3, 3)",2.0,OTSU,9,1,20,10,1,1,3540,
"(3, 3)",2.0,OTSU,9,1,20,20,1,1,4364,
"(3, 3)",2.0,OTSU,9,1,20,30,1,1,3597,
"(3, 3)",2.0,OTSU,9,1,20,40,1,1,1554,
"(3, 3)",2.0,OTSU,9,1,20,50,1,1,1299,
"(3, 3)",2.0,OTSU,9,1,20,60,1,1,1283,
"(3, 3)",2.0,OTSU,9,1,20,70,1,1,1237,
"(3, 3)",2.0,OTSU,9,1,20,80,1,1,1093,
"(3, 3)",2.0,OTSU,9,1,20,90,1,1,975,
"(3, 3)",2.0,OTSU,9,1,20,100,1,1,1023,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,10,1,1,2728,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,20,1,1,2962,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,30,1,1,2660,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,40,1,1,1077,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,50,1,1,813,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,60,1,1,729,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,70,1,1,679,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,80,1,1,416,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,90,1,1,269,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,100,1,1,193,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,10,1,1,1438,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,20,1,1,1628,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,30,1,1,1308,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,40,1,1,771,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,50,1,1,688,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,60,1,1,395,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,70,1,1,435,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,80,1,1,424,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,90,1,1,310,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,100,1,1,315,
"(5, 5)",0,OTSU,9,1,20,10,1,1,3540,
"(5, 5)",0,OTSU,9,1,20,20,1,1,4364,
"(5, 5)",0,OTSU,9,1,20,30,1,1,3597,
"(5, 5)",0,OTSU,9,1,20,40,1,1,1554,
"(5, 5)",0,OTSU,9,1,20,50,1,1,1299,
"(5, 5)",0,OTSU,9,1,20,60,1,1,1283,
"(5, 5)",0,OTSU,9,1,20,70,1,1,1237,
"(5, 5)",0,OTSU,9,1,20,80,1,1,1093,
"(5, 5)",0,OTSU,9,1,20,90,1,1,975,
"(5, 5)",0,OTSU,9,1,20,100,1,1,1023,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,10,1,1,2728,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,20,1,1,2962,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,30,1,1,2660,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,40,1,1,1077,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,50,1,1,813,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,60,1,1,729,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,70,1,1,679,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,80,1,1,416,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,90,1,1,269,
"(5, 5)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,100,1,1,193,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,10,1,1,1438,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,20,1,1,1628,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,30,1,1,1308,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,40,1,1,771,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,50,1,1,688,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,60,1,1,395,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,70,1,1,435,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,80,1,1,424,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,90,1,1,310,
"(5, 5)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,100,1,1,315,
"(5, 5)",1.0,OTSU,9,1,20,10,1,1,3540,
"(5, 5)",1.0,OTSU,9,1,20,20,1,1,4364,
"(5, 5)",1.0,OTSU,9,1,20,30,1,1,3597,
"(5, 5)",1.0,OTSU,9,1,20,40,1,1,1554,
"(5, 5)",1.0,OTSU,9,1,20,50,1,1,1299,
"(5, 5)",1.0,OTSU,9,1,20,60,1,1,1283,
"(5, 5)",1.0,OTSU,9,1,20,70,1,1,1237,
"(5, 5)",1.0,OTSU,9,1,20,80,1,1,1093,
"(5, 5)",1.0,OTSU,9,1,20,90,1,1,975,
"(5, 5)",1.0,OTSU,9,1,20,100,1,1,1023,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,10,1,1,2728,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,20,1,1,2962,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,30,1,1,2660,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,40,1,1,1077,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,50,1,1,813,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,60,1,1,729,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,70,1,1,679,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,80,1,1,416,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,90,1,1,269,
"(5, 5)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,100,1,1,193,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,10,1,1,1438,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,20,1,1,1628,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,30,1,1,1308,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,40,1,1,771,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,50,1,1,688,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,60,1,1,395,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,70,1,1,435,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,80,1,1,424,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,90,1,1,310,
"(5, 5)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,100,1,1,315,
"(5, 5)",2.0,OTSU,9,1,20,10,1,1,3540,
"(5, 5)",2.0,OTSU,9,1,20,20,1,1,4364,
"(5, 5)",2.0,OTSU,9,1,20,30,1,1,3597,
"(5, 5)",2.0,OTSU,9,1,20,40,1,1,1554,
"(5, 5)",2.0,OTSU,9,1,20,50,1,1,1299,
"(5, 5)",2.0,OTSU,9,1,20,60,1,1,1283,
"(5, 5)",2.0,OTSU,9,1,20,70,1,1,1237,
"(5, 5)",2.0,OTSU,9,1,20,80,1,1,1093,
"(5, 5)",2.0,OTSU,9,1,20,90,1,1,975,
"(5, 5)",2.0,OTSU,9,1,20,100,1,1,1023,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,10,1,1,2728,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,20,1,1,2962,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,30,1,1,2660,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,40,1,1,1077,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,50,1,1,813,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,60,1,1,729,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,70,1,1,679,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,80,1,1,416,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,90,1,1,269,
"(5, 5)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,100,1,1,193,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,10,1,1,1438,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,20,1,1,1628,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,30,1,1,1308,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,40,1,1,771,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,50,1,1,688,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,60,1,1,395,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,70,1,1,435,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,80,1,1,424,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,90,1,1,310,
"(5, 5)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,100,1,1,315,
"(7, 7)",0,OTSU,9,1,20,10,1,1,3540,
"(7, 7)",0,OTSU,9,1,20,20,1,1,4364,
"(7, 7)",0,OTSU,9,1,20,30,1,1,3597,
"(7, 7)",0,OTSU,9,1,20,40,1,1,1554,
"(7, 7)",0,OTSU,9,1,20,50,1,1,1299,
"(7, 7)",0,OTSU,9,1,20,60,1,1,1283,
"(7, 7)",0,OTSU,9,1,20,70,1,1,1237,
"(7, 7)",0,OTSU,9,1,20,80,1,1,1093,
"(7, 7)",0,OTSU,9,1,20,90,1,1,975,
"(7, 7)",0,OTSU,9,1,20,100,1,1,1023,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,10,1,1,2728,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,20,1,1,2962,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,30,1,1,2660,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,40,1,1,1077,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,50,1,1,813,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,60,1,1,729,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,70,1,1,679,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,80,1,1,416,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,90,1,1,269,
"(7, 7)",0,ADAPTIVE_THRESH_MEAN_C,9,1,20,100,1,1,193,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,10,1,1,1438,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,20,1,1,1628,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,30,1,1,1308,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,40,1,1,771,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,50,1,1,688,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,60,1,1,395,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,70,1,1,435,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,80,1,1,424,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,90,1,1,310,
"(7, 7)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,100,1,1,315,
"(7, 7)",1.0,OTSU,9,1,20,10,1,1,3540,
"(7, 7)",1.0,OTSU,9,1,20,20,1,1,4364,
"(7, 7)",1.0,OTSU,9,1,20,30,1,1,3597,
"(7, 7)",1.0,OTSU,9,1,20,40,1,1,1554,
"(7, 7)",1.0,OTSU,9,1,20,50,1,1,1299,
"(7, 7)",1.0,OTSU,9,1,20,60,1,1,1283,
"(7, 7)",1.0,OTSU,9,1,20,70,1,1,1237,
"(7, 7)",1.0,OTSU,9,1,20,80,1,1,1093,
"(7, 7)",1.0,OTSU,9,1,20,90,1,1,975,
"(7, 7)",1.0,OTSU,9,1,20,100,1,1,1023,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,10,1,1,2728,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,20,1,1,2962,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,30,1,1,2660,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,40,1,1,1077,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,50,1,1,813,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,60,1,1,729,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,70,1,1,679,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,80,1,1,416,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,90,1,1,269,
"(7, 7)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,100,1,1,193,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,10,1,1,1438,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,20,1,1,1628,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,30,1,1,1308,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,40,1,1,771,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,50,1,1,688,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,60,1,1,395,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,70,1,1,435,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,80,1,1,424,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,90,1,1,310,
"(7, 7)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,100,1,1,315,
"(7, 7)",2.0,OTSU,9,1,20,10,1,1,3540,
"(7, 7)",2.0,OTSU,9,1,20,20,1,1,4364,
"(7, 7)",2.0,OTSU,9,1,20,30,1,1,3597,
"(7, 7)",2.0,OTSU,9,1,20,40,1,1,1554,
"(7, 7)",2.0,OTSU,9,1,20,50,1,1,1299,
"(7, 7)",2.0,OTSU,9,1,20,60,1,1,1283,
"(7, 7)",2.0,OTSU,9,1,20,70,1,1,1237,
"(7, 7)",2.0,OTSU,9,1,20,80,1,1,1093,
"(7, 7)",2.0,OTSU,9,1,20,90,1,1,975,
"(7, 7)",2.0,OTSU,9,1,20,100,1,1,1023,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,10,1,1,2728,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,20,1,1,2962,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,30,1,1,2660,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,40,1,1,1077,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,50,1,1,813,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,60,1,1,729,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,70,1,1,679,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,80,1,1,416,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,90,1,1,269,
"(7, 7)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,20,100,1,1,193,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,10,1,1,1438,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,20,1,1,1628,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,30,1,1,1308,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,40,1,1,771,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,50,1,1,688,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,60,1,1,395,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,70,1,1,435,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,80,1,1,424,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,90,1,1,310,
"(7, 7)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,20,100,1,1,315,
"(3, 3)",0,OTSU,9,1,30,10,1,1,3453,
"(3, 3)",0,OTSU,9,1,30,20,1,1,5147,
"(3, 3)",0,OTSU,9,1,30,30,1,1,4351,
"(3, 3)",0,OTSU,9,1,30,40,1,1,2044,
"(3, 3)",0,OTSU,9,1,30,50,1,1,1927,
"(3, 3)",0,OTSU,9,1,30,60,1,1,1774,
"(3, 3)",0,OTSU,9,1,30,70,1,1,1743,
"(3, 3)",0,OTSU,9,1,30,80,1,1,1599,
"(3, 3)",0,OTSU,9,1,30,90,1,1,1472,
"(3, 3)",0,OTSU,9,1,30,100,1,1,1520,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,30,10,1,1,3007,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,30,20,1,1,3735,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,30,30,1,1,3657,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,30,40,1,1,1448,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,30,50,1,1,1070,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,30,60,1,1,986,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,30,70,1,1,940,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,30,80,1,1,673,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,30,90,1,1,526,
"(3, 3)",0,ADAPTIVE_THRESH_MEAN_C,9,1,30,100,1,1,311,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,10,1,1,1253,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,20,1,1,1622,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,30,1,1,1368,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,40,1,1,765,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,50,1,1,765,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,60,1,1,574,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,70,1,1,531,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,80,1,1,520,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,90,1,1,368,
"(3, 3)",0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,100,1,1,373,
"(3, 3)",1.0,OTSU,9,1,30,10,1,1,3453,
"(3, 3)",1.0,OTSU,9,1,30,20,1,1,5147,
"(3, 3)",1.0,OTSU,9,1,30,30,1,1,4351,
"(3, 3)",1.0,OTSU,9,1,30,40,1,1,2044,
"(3, 3)",1.0,OTSU,9,1,30,50,1,1,1927,
"(3, 3)",1.0,OTSU,9,1,30,60,1,1,1774,
"(3, 3)",1.0,OTSU,9,1,30,70,1,1,1743,
"(3, 3)",1.0,OTSU,9,1,30,80,1,1,1599,
"(3, 3)",1.0,OTSU,9,1,30,90,1,1,1472,
"(3, 3)",1.0,OTSU,9,1,30,100,1,1,1520,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,10,1,1,3007,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,20,1,1,3735,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,30,1,1,3657,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,40,1,1,1448,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,50,1,1,1070,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,60,1,1,986,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,70,1,1,940,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,80,1,1,673,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,90,1,1,526,
"(3, 3)",1.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,100,1,1,311,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,10,1,1,1253,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,20,1,1,1622,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,30,1,1,1368,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,40,1,1,765,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,50,1,1,765,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,60,1,1,574,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,70,1,1,531,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,80,1,1,520,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,90,1,1,368,
"(3, 3)",1.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,100,1,1,373,
"(3, 3)",2.0,OTSU,9,1,30,10,1,1,3453,
"(3, 3)",2.0,OTSU,9,1,30,20,1,1,5147,
"(3, 3)",2.0,OTSU,9,1,30,30,1,1,4351,
"(3, 3)",2.0,OTSU,9,1,30,40,1,1,2044,
"(3, 3)",2.0,OTSU,9,1,30,50,1,1,1927,
"(3, 3)",2.0,OTSU,9,1,30,60,1,1,1774,
"(3, 3)",2.0,OTSU,9,1,30,70,1,1,1743,
"(3, 3)",2.0,OTSU,9,1,30,80,1,1,1599,
"(3, 3)",2.0,OTSU,9,1,30,90,1,1,1472,
"(3, 3)",2.0,OTSU,9,1,30,100,1,1,1520,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,10,1,1,3007,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,20,1,1,3735,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,30,1,1,3657,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,40,1,1,1448,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,50,1,1,1070,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,60,1,1,986,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,70,1,1,940,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,80,1,1,673,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,90,1,1,526,
"(3, 3)",2.0,ADAPTIVE_THRESH_MEAN_C,9,1,30,100,1,1,311,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,10,1,1,1253,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,20,1,1,1622,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,30,1,1,1368,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,40,1,1,765,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,50,1,1,765,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,60,1,1,574,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,70,1,1,531,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,80,1,1,520,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,90,1,1,368,
"(3, 3)",2.0,ADAPTIVE_THRESH_GAUSSIAN_C,9,1,30,100,1,1,373,
"(5, 5)",0,OTSU,9,1,30,10,1,1,3453,
"(5, 5)",0,OTSU,9,1,30,20,1,1,5147,
"(5, 5)",0,OTSU,9,1,30,30,1,1,4351,
"(5, 5)",0,OTSU,9,1,30,40,1,1,2044,
"(5, 5)",0,OTSU,9,1,30,50,1,1,1927,
